#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2,ReH,ReE,ReHTilde,dvcs
5.00000,21.00000,5.75000,1.99900,0.38100,-0.37100,322.50000,0.04352,0.00235,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,22.00000,5.75000,1.99900,0.38100,-0.37100,337.50000,0.05901,0.00281,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,23.00000,5.75000,1.99900,0.38100,-0.37100,352.50000,0.05802,0.00314,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
6.00000,0.00000,5.75000,2.21800,0.34500,-0.17600,7.50000,0.10061,0.00530,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,1.00000,5.75000,2.21800,0.34500,-0.17600,22.50000,0.09837,0.00510,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,2.00000,5.75000,2.21800,0.34500,-0.17600,37.50000,0.09748,0.00473,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,3.00000,5.75000,2.21800,0.34500,-0.17600,52.50000,0.08923,0.00428,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,4.00000,5.75000,2.21800,0.34500,-0.17600,67.50000,0.07960,0.00382,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,5.00000,5.75000,2.21800,0.34500,-0.17600,82.50000,0.07118,0.00340,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,6.00000,5.75000,2.21800,0.34500,-0.17600,97.50000,0.05997,0.00303,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,7.00000,5.75000,2.21800,0.34500,-0.17600,112.50000,0.05292,0.00274,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,8.00000,5.75000,2.21800,0.34500,-0.17600,127.50000,0.04983,0.00251,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,9.00000,5.75000,2.21800,0.34500,-0.17600,142.50000,0.04735,0.00235,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,10.00000,5.75000,2.21800,0.34500,-0.17600,157.50000,0.04414,0.00224,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,11.00000,5.75000,2.21800,0.34500,-0.17600,172.50000,0.04515,0.00219,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,12.00000,5.75000,2.21800,0.34500,-0.17600,187.50000,0.04701,0.00219,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,13.00000,5.75000,2.21800,0.34500,-0.17600,202.50000,0.04436,0.00224,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,14.00000,5.75000,2.21800,0.34500,-0.17600,217.50000,0.04747,0.00235,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,15.00000,5.75000,2.21800,0.34500,-0.17600,232.50000,0.05320,0.00251,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,16.00000,5.75000,2.21800,0.34500,-0.17600,247.50000,0.05209,0.00274,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,17.00000,5.75000,2.21800,0.34500,-0.17600,262.50000,0.05638,0.00303,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,18.00000,5.75000,2.21800,0.34500,-0.17600,277.50000,0.06637,0.00340,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,19.00000,5.75000,2.21800,0.34500,-0.17600,292.50000,0.07763,0.00382,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,20.00000,5.75000,2.21800,0.34500,-0.17600,307.50000,0.08411,0.00428,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,21.00000,5.75000,2.21800,0.34500,-0.17600,322.50000,0.08952,0.00473,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,22.00000,5.75000,2.21800,0.34500,-0.17600,337.50000,0.10438,0.00510,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
6.00000,23.00000,5.75000,2.21800,0.34500,-0.17600,352.50000,0.10304,0.00530,0.05000,0.67801,1.08216,-2.55945,2.20108,1.37920,0.01677
7.00000,0.00000,5.75000,2.31800,0.36300,-0.23200,7.50000,0.08259,0.00414,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,1.00000,5.75000,2.31800,0.36300,-0.23200,22.50000,0.07729,0.00390,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,2.00000,5.75000,2.31800,0.36300,-0.23200,37.50000,0.06635,0.00350,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,3.00000,5.75000,2.31800,0.36300,-0.23200,52.50000,0.06288,0.00305,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,4.00000,5.75000,2.31800,0.36300,-0.23200,67.50000,0.05155,0.00263,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,5.00000,5.75000,2.31800,0.36300,-0.23200,82.50000,0.04547,0.00228,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,6.00000,5.75000,2.31800,0.36300,-0.23200,97.50000,0.04132,0.00200,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,7.00000,5.75000,2.31800,0.36300,-0.23200,112.50000,0.03740,0.00178,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,8.00000,5.75000,2.31800,0.36300,-0.23200,127.50000,0.03409,0.00162,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,9.00000,5.75000,2.31800,0.36300,-0.23200,142.50000,0.03239,0.00152,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,10.00000,5.75000,2.31800,0.36300,-0.23200,157.50000,0.03088,0.00145,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
7.00000,11.00000,5.75000,2.31800,0.36300,-0.23200,172.50000,0.02870,0.00141,0.05000,0.61351,0.94474,-2.50080,2.05692,1.18094,0.01284
