#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
4,42,2.75,1.44409,0.463857,-0.483145,344,0.505744,0.0252872,0.05,0.422266,0.564449
4,43,2.75,1.44409,0.463857,-0.483145,352,0.537635,0.0268817,0.05,0.422266,0.564449
4,44,2.75,1.44409,0.463857,-0.483145,360,0.601917,0.0300959,0.05,0.422266,0.564449
5,0,2.75,1.61525,0.599496,-0.491783,8,0.0794238,0.00397119,0.05,0.417528,0.555726
5,1,2.75,1.61525,0.599496,-0.491783,16,0.0788943,0.00394472,0.05,0.417528,0.555726
5,2,2.75,1.61525,0.599496,-0.491783,24,0.0814173,0.00407087,0.05,0.417528,0.555726
5,3,2.75,1.61525,0.599496,-0.491783,32,0.0754878,0.00377439,0.05,0.417528,0.555726
5,4,2.75,1.61525,0.599496,-0.491783,40,0.0779933,0.00389966,0.05,0.417528,0.555726
5,5,2.75,1.61525,0.599496,-0.491783,48,0.0653468,0.00326734,0.05,0.417528,0.555726
5,6,2.75,1.61525,0.599496,-0.491783,56,0.0686649,0.00343325,0.05,0.417528,0.555726
5,7,2.75,1.61525,0.599496,-0.491783,64,0.0615343,0.00307672,0.05,0.417528,0.555726
5,8,2.75,1.61525,0.599496,-0.491783,72,0.0603655,0.00301827,0.05,0.417528,0.555726
5,9,2.75,1.61525,0.599496,-0.491783,80,0.0646451,0.00323226,0.05,0.417528,0.555726
5,10,2.75,1.61525,0.599496,-0.491783,88,0.0599122,0.00299561,0.05,0.417528,0.555726
5,11,2.75,1.61525,0.599496,-0.491783,96,0.0541428,0.00270714,0.05,0.417528,0.555726
5,12,2.75,1.61525,0.599496,-0.491783,104,0.0539958,0.00269979,0.05,0.417528,0.555726
5,13,2.75,1.61525,0.599496,-0.491783,112,0.051002,0.0025501,0.05,0.417528,0.555726
5,14,2.75,1.61525,0.599496,-0.491783,120,0.0541954,0.00270977,0.05,0.417528,0.555726
5,15,2.75,1.61525,0.599496,-0.491783,128,0.0486332,0.00243166,0.05,0.417528,0.555726
5,16,2.75,1.61525,0.599496,-0.491783,136,0.0510286,0.00255143,0.05,0.417528,0.555726
5,17,2.75,1.61525,0.599496,-0.491783,144,0.047216,0.0023608,0.05,0.417528,0.555726
5,18,2.75,1.61525,0.599496,-0.491783,152,0.0472894,0.00236447,0.05,0.417528,0.555726
5,19,2.75,1.61525,0.599496,-0.491783,160,0.0479606,0.00239803,0.05,0.417528,0.555726
5,20,2.75,1.61525,0.599496,-0.491783,168,0.0505532,0.00252766,0.05,0.417528,0.555726
5,21,2.75,1.61525,0.599496,-0.491783,176,0.0460103,0.00230051,0.05,0.417528,0.555726
5,22,2.75,1.61525,0.599496,-0.491783,184,0.0459214,0.00229607,0.05,0.417528,0.555726
